just	178
friends	123
new	110
app	106
get	102
now	95
like	91
love	86
thanks	86
pay	85
via	80
check	79
use	78
paid	74
money	74
great	73
payments	73
awesome	71
<3	61
using	61
mobile	60
braintree	60
payment	59
cash	56
today	55
one	55
apps	49
team	48
day	48
back	46
got	45
way	44
first	44
paypal	43
easy	42
iphone	41
know	40
people	40
happy	39
lucas	38
phone	38
much	37
best	37
really	37
time	35
android	35
ayanonagon	34
fun	34
week	34
see	34
make	33
nyc	33
favorite	32
office	32
help	31
send	31
kortina	31
life	31
w/	30
free	30
social	30
next	29
everyone	29
makes	29
excited	28
last	28
account	28
tell	27
join	27
venmo's	26
easier	26
coffee	26
good	25
wallet	25
made	25
treat	25
cool	25
friend	25
going	24
post	24
tumblr	24
think	23
need	23
users	23
splitting	23
come	23
take	23
hq	22
sf	22
venmort	22
sxsw	22
used	22
(	21
paying	21
go	21
ios	21
thank	21
service	21
through	21
square	20
nice	20
split	20
making	20
super	20
thing	19
lunch	19
credit	19
looking	19
tonight	19
download	19
pretty	19
talk	19
top	18
year	18
stop	18
charge	18
want	18
cafegrumpy	18
even	18
malarianomore	18
right	17
finally	17
look	17
work	17
please	17
bill	17
ever	17
williamready	16
venmo?	16
stuff	16
let	16
hope	16
big	16
/	15
after	15
better	15
tech	15
foursquare	15
startups	15
$1	15
video	15
jfarruk	15
dinner	15
sign	15
night	15
around	15
user	15
amazing	15
coming	15
donate	15
weekend	15
text	14
being	14
--	14
bank	14
sent	14
follow	14
things	14
checks	14
before	14
still	14
enjoy	14
pennapps	14
give	14
working	14
latest	14
update	14
event	14
api	14
card	14
hack	14
beautiful	13
url	13
sure	13
startup	13
email	13
wait	13
meet	13
guys	13
world	13
birthday	13
someone	13
support	13
live	13
hour	13
every	13
also	13
tomorrow	13
tweet	12
wow	12
never	12
ny	12
venmohq	12
beer	12
touch	12
hosting	12
uses	12
wish	12
group	12
soon	12
find	12
since	12
chrismaddern	12
iqram	12
idea	12
company	11
forward	11
announce	11
hackathon	11
hey	11
forget	11
superandomness	11
party	11
open	11
sweet	11
release	11
engineers	11
song	11
summer	11
future	11
try	10
shout	10
start	10
techcrunch	10
tickets	10
learn	10
drinks	10
www	10
head	10
rsvp	10
meetup	10
read	10
takes	10
delicious	10
technology	10
place	10
product	10
venmolife	10
quick	10
rdshapiro	10
code	10
push	10
list	10
friday	10
wants	10
photo	10
already	10
hiring	10
malaria	10
little	10
getting	10
congrats	10
change	10
buy	10
tbt	10
;	9
baby	9
emoji	9
released	9
many	9
features	9
win	9
piece	9
without	9
almost	9
welcome	9
killer	9
jfarrukrt	9
hot	9
something	9
forgot	9
real	9
collect	9
launch	9
seeing	9
ready	9
fees	9
venmo!rt	9
guess	9
days	9
folks	9
loving	9
giving	9
birchbox	9
commerce	9
anyone	9
add	9
came	9
simple	9
bar	9
…rt	9
/cc	9
review	9
$	8
